,Séquentiel,SID,Heure de soumission,Heure de complétion,Heure de modification,Brouillon,Adresse IP,UID,Nom d'utilisateur,"Quelle est votre structure d'appartenance (DREAL, DDT, DRAAF...) ?",Dans quel service travaillez-vous ?,Pour la réalisation de mes missions j'ai besoin d'accèder aux données et/ou de les visualiser,Souhaiteriez-vous suivre une formation sur un outil d'accès ou de visualisation de données ?,je fais une demande au service compétent,"je sais où trouver la donnée (données internes, extérieures, open data…)","je connais les formats de données, je sais choisir l’outil pour ouvrir la donnée","Outil web intéractif, type tableau de bord","Plateforme web d’accès aux données (géo-ide, DataGrandEst, Observatoires….)","Calc, Excel",QGis,Infocentre (Business object),Access,Metabase,pgAdmin,Beyond,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?,"Si oui, lequel/lesquels et pour quelles utilisations ?","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour accéder aux données ou les visualiser ? Si oui, lequel/lesquels ?",Pour la réalisation de mes missions j'ai besoin de réaliser des traitements sur les données,Souhaiteriez-vous suivre une formation sur un outil de traitement de données ?,je sais produire de la donnée,je sais mettre en qualité les données récupérées,"je sais croiser des données (avec des référentiels, données métier …)",Je sais réaliser des analyses,"Calc, Excel.1",QGis.1,Map info,ArcGIS,Infocentre (Business object).1,SAS,Access.1,R,Python,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?.1,"Si oui, lequel/lesquels et pour quelles utilisations ?.1","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour faire du traitement de données ? Si oui, lequel/lesquels ?",Pour la réalisation de mes missions je fais de la gestion et de l'administration de données,Souhaiteriez-vous suivre une formation sur un outil de gestion et d'administration de données ?,je sais structurer les données pour les intégrer à une base de données,je sais créer une base de données,"je sais gérer une base de données (arborescente, relationnelle…)","Je sais administrer un serveur de base de données (gestion des droits utilisateurs, capacité….)","Calc, Excel.2",QGis.2,Asgard (module QGis),Access.2,"pgAdmin, pSQL (postgre/postgis)",MySQL,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?.2,"Si oui, lequel/lesquels et pour quelles utilisations ?.2","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour gérer et administrer les données ? Si oui, lequel/lesquels ?",Pour la réalisation de mes missions j'administre des outils de visualisation de données,Souhaiteriez-vous suivre une formation sur un outil de visualisation de données ?,"Calc, Excel.3",Infocentre (Business object).2,Access.3,DataGrandEst,Géo-IDE carto,Apache Superset,Metabase et outils similaires,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?.3,"Si oui, lequel/lesquels et pour quelles utilisations ?.3","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour visualiser les données ? Si oui, lequel/lesquels ?",Pour la réalisation de mes missions je fais de l'automatisation (par exemple pour le traitement de données,Souhaiteriez-vous suivre une formation sur un langage d'automatisation de traitements ?,je sais utiliser des scripts existants,"je sais adapter des scripts existants (nouvelles données, nouveau traitement)",je sais créer des scripts,"Calc, Excel (macros)","Python (PyCharm, Jupyter, Spyder, Anaconda, VS CODE, Qgis, …)",R (RStudio...),"pgAdmin, pSQL (postgre/postgis).1",GitLab,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?.4,"Si oui, lequel/lesquels et pour quelles utilisations ?.4","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour automatiser les traitements de données ? Si oui, lequel/lesquels ?","Pour la réalisation de mes missions, je développe des applications (web, locale, ...) et des scripts, y compris en mode gestion de projet",Souhaiteriez-vous suivre une formation sur un outil ou langage de développement d'applications ?,je sais développer des applications ou des scripts,je sais gérer un projet de développement,"Python (PyCharm, Jupyter, Spyder, Anaconda, VS CODE, Qgis, …).1","RShiny (RStudio, Golem, …)",Javascript,Access.4,QGis (developpement de plugin),Taïga : outil agile,GitLab.1,RedMine (ticketing),Resana,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?.5,"Si oui, lequel/lesquels et pour quelles utilisations ?.5","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour gérer et admnistrer les données ? Si oui, lequel/lesquels ?",Inscrivez-vous pour être tenu au courant de l'avancée du projet
10,18,14315364,08/12/2022 - 10:22,08/12/2022 - 10:22,08/12/2022 - 10:22,0,0.0.0.0,0,Anonymous,DREAL,MOTP,Oui,,,X,X,jamais utilisé,jamais utilisé,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,MapInfo,Oui,,X,X,X,X,avancé,débutant,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,X,,,,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,Non,Oui,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,
11,19,14316433,08/12/2022 - 11:03,08/12/2022 - 11:03,08/12/2022 - 11:03,0,0.0.0.0,0,Anonymous,DDT57,SH,Oui,,,,X,avancé,avancé,avancé,jamais utilisé,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,Oui,infocentre,,Oui,,,X,,,avancé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Oui,infocentre,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Oui,,X,,,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,,1
12,20,14317133,08/12/2022 - 11:29,08/12/2022 - 11:29,08/12/2022 - 11:29,0,0.0.0.0,0,Anonymous,DREAL,SPRA,Oui,,,,,débutant,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,,,,,débutant,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Oui,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
13,21,14317169,08/12/2022 - 11:31,08/12/2022 - 11:31,08/12/2022 - 11:31,0,0.0.0.0,0,Anonymous,DREAL,SEBP,Oui,,,X,X,jamais utilisé,avancé,avancé,avancé,débutant,avancé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,,,X,X,avancé,avancé,débutant,jamais utilisé,débutant,jamais utilisé,avancé,jamais utilisé,expert,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Oui,,X,X,X,avancé,avancé,jamais utilisé,avancé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,,
14,22,14317222,08/12/2022 - 11:34,08/12/2022 - 11:34,08/12/2022 - 11:34,0,0.0.0.0,0,Anonymous,DREAL,ST,Oui,,X,X,X,avancé,avancé,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,;Création gestion BDD,,Oui,,X,X,X,X,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,"Python,R",,Oui,,,,,,avancé,avancé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,Oui,Tous,,Non,Oui,,,,,,,,,,,Non,Oui,,,,,,,,,,,,Oui,,,,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,débutant,Oui,Python,,1
15,23,14317232,08/12/2022 - 11:34,08/12/2022 - 11:34,08/12/2022 - 11:34,0,0.0.0.0,0,Anonymous,DREAL,UD,Oui,,,X,,jamais utilisé,débutant,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Oui,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
16,24,14317329,08/12/2022 - 11:38,08/12/2022 - 11:38,08/12/2022 - 11:38,0,0.0.0.0,0,Anonymous,DREAL,SSA,Oui,,,X,X,avancé,avancé,expert,expert,avancé,avancé,jamais utilisé,expert,jamais utilisé,Non,,,Oui,,X,X,X,X,expert,expert,jamais utilisé,expert,jamais utilisé,jamais utilisé,avancé,jamais utilisé,avancé,Non,,,Oui,,X,X,X,X,expert,expert,jamais utilisé,avancé,expert,expert,Oui,Asgard,,Non,Non,,,,,,,,,,,Oui,,X,X,X,débutant,avancé,jamais utilisé,expert,débutant,Non,,FME,Oui,,X,,débutant,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,Qgis;plugin / python,,1
17,25,14317447,08/12/2022 - 11:44,08/12/2022 - 11:44,08/12/2022 - 11:44,0,0.0.0.0,0,Anonymous,DREAL,STECCLA,Oui,,,X,X,avancé,débutant,expert,avancé,jamais utilisé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,;selon évolution de poste,"SQL,phpmyadmin",Oui,,,X,X,,expert,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,avancé,jamais utilisé,jamais utilisé,Oui,;Selon évolution de poste,,Oui,,X,X,X,X,expert,avancé,jamais utilisé,avancé,jamais utilisé,débutant,Oui,;selon évolution de poste,phpmyadmin,Non,Oui,,,,,,,,,,,Oui,,,,X,expert,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,;selon évolution de poste,php,Oui,,X,,jamais utilisé,jamais utilisé,débutant,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,;selon évolution de poste,php,
18,26,14317570,08/12/2022 - 11:49,08/12/2022 - 11:49,08/12/2022 - 11:49,0,0.0.0.0,0,Anonymous,DREAL,STECCLA,Oui,,,X,X,avancé,avancé,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,X,X,X,X,avancé,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,,,,,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
19,27,14317621,08/12/2022 - 11:52,08/12/2022 - 11:52,08/12/2022 - 11:52,0,0.0.0.0,0,Anonymous,DREAL,SEBP,Oui,,,X,X,débutant,débutant,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,,X,X,X,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
20,28,14317672,08/12/2022 - 11:54,08/12/2022 - 11:54,08/12/2022 - 11:54,0,0.0.0.0,0,Anonymous,DREAL,SEBP,Oui,,,X,X,avancé,avancé,expert,expert,jamais utilisé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,,X,X,X,expert,expert,avancé,débutant,jamais utilisé,jamais utilisé,avancé,avancé,débutant,Oui,"R,Python",,Oui,,X,X,X,,expert,expert,jamais utilisé,avancé,jamais utilisé,avancé,Non,,,Oui,,expert,jamais utilisé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,R,Oui,,X,X,X,expert,débutant,avancé,jamais utilisé,jamais utilisé,Oui,"R,Python",,Oui,,X,,jamais utilisé,avancé,débutant,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,avancé,Oui,"R,Python",,
21,29,14317753,08/12/2022 - 11:58,08/12/2022 - 11:58,08/12/2022 - 11:58,0,0.0.0.0,0,Anonymous,DREAL,STECCLA,Oui,,X,,,débutant,débutant,avancé,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,QGIS;cartographier des guides,,Oui,,,X,,X,avancé,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,"QGIS,MapInfo",,Oui,,,X,,,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,QGIS;réalisation bilans,,Non,Oui,,,,,,,,,,,Non,Oui,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
22,30,14317774,08/12/2022 - 11:59,08/12/2022 - 11:59,08/12/2022 - 11:59,0,0.0.0.0,0,Anonymous,DDT57,SERAF,Oui,,,X,X,jamais utilisé,jamais utilisé,avancé,avancé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,X,X,X,X,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Non,,,Oui,,X,X,X,X,avancé,débutant,jamais utilisé,avancé,débutant,débutant,Non,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
23,31,14318191,08/12/2022 - 12:18,08/12/2022 - 12:18,08/12/2022 - 12:18,0,0.0.0.0,0,Anonymous,DDT57,SRECC,Oui,,,X,,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,"Geoportail,showMyStreet.com",Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,
24,32,14318331,08/12/2022 - 12:26,08/12/2022 - 12:26,08/12/2022 - 12:26,0,0.0.0.0,0,Anonymous,DDT51,STPP,Oui,,,X,X,avancé,expert,avancé,expert,jamais utilisé,jamais utilisé,jamais utilisé,avancé,jamais utilisé,Non,,,Oui,,X,X,X,X,avancé,expert,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,Python ,postgresql,Oui,,X,X,X,X,avancé,expert,avancé,jamais utilisé,avancé,jamais utilisé,Oui,Asgard ,,Oui,,avancé,jamais utilisé,jamais utilisé,avancé,avancé,jamais utilisé,jamais utilisé,Non,,,Oui,,X,X,,avancé,jamais utilisé,jamais utilisé,avancé,jamais utilisé,Oui,Python ,,Non,Non,,,,,,,,,,,,,,,1
25,33,14318444,08/12/2022 - 12:34,08/12/2022 - 12:34,08/12/2022 - 12:34,0,0.0.0.0,0,Anonymous,DREAL,SEBP,Oui,,X,X,X,avancé,avancé,expert,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,;En fonction de l'intérêt de certains outils listés et que je ne connais pas,Geoportail,Oui,,X,,,X,expert,avancé,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,;selon intérêt des outils,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
26,34,14318550,08/12/2022 - 12:41,08/12/2022 - 12:41,08/12/2022 - 12:41,0,0.0.0.0,0,Anonymous,DREAL,SPRA,Non,Non,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
27,35,14318836,08/12/2022 - 12:58,08/12/2022 - 12:58,08/12/2022 - 12:58,0,0.0.0.0,0,Anonymous,DDT52,BEC,Oui,,,X,X,avancé,avancé,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,Non,,,Oui,,X,X,X,X,débutant,avancé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,Oui,R,,Oui,,,X,,X,débutant,avancé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,Non,,,Oui,,avancé,jamais utilisé,jamais utilisé,avancé,débutant,jamais utilisé,jamais utilisé,Non,,,Non,Oui,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
28,36,14319109,08/12/2022 - 13:11,08/12/2022 - 13:11,08/12/2022 - 13:11,0,0.0.0.0,0,Anonymous,DREAL,STECCLA,Oui,,X,X,X,débutant,débutant,débutant,débutant,débutant,débutant,jamais utilisé,débutant,jamais utilisé,Non,,,Oui,,X,,X,X,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,X,,,,débutant,débutant,jamais utilisé,jamais utilisé,débutant,débutant,Non,,,Non,Non,,,,,,,,,,,Non,Oui,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,,1
29,37,14319665,08/12/2022 - 13:43,08/12/2022 - 13:43,08/12/2022 - 13:43,0,0.0.0.0,0,Anonymous,DREAL,SPRA,Oui,,X,X,,jamais utilisé,débutant,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,;utilisation des plateformes web d'accès aux données & outils web intéractif,,Oui,,,X,,X,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,débutant,Oui,Mapinfo,,Oui,,X,,X,X,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,avancé,Non,,,Non,Oui,,,,,,,,,,,Oui,,X,X,,débutant,débutant,débutant,débutant,jamais utilisé,Oui,excel;macro,,Non,Non,,,,,,,,,,,,,,,1
30,38,14319850,08/12/2022 - 13:54,08/12/2022 - 13:54,08/12/2022 - 13:54,0,0.0.0.0,0,Anonymous,DREAL,UD,Oui,,,X,X,débutant,expert,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,Oui,Infocentre;pour connaitre les possibilités,,Oui,,X,X,X,X,débutant,avancé,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,R,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
31,39,14319915,08/12/2022 - 13:57,08/12/2022 - 13:57,08/12/2022 - 13:57,0,0.0.0.0,0,Anonymous,DREAL,UD,Oui,,,,X,avancé,débutant,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,gunenv,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
32,40,14319966,08/12/2022 - 14:00,08/12/2022 - 14:00,08/12/2022 - 14:00,0,0.0.0.0,0,Anonymous,DREAL ,SEE,Oui,,,X,,débutant,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,,X,X,,avancé,débutant,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
33,41,14320111,08/12/2022 - 14:08,08/12/2022 - 14:08,08/12/2022 - 14:08,0,0.0.0.0,0,Anonymous,DREAL ,UD,Oui,,,X,,avancé,avancé,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,,,X,X,avancé,débutant,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,
34,42,14320584,08/12/2022 - 14:27,08/12/2022 - 14:27,08/12/2022 - 14:27,0,0.0.0.0,0,Anonymous,DREAL,SEBP,Oui,,,X,X,expert,expert,expert,expert,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,Oui,;Juste avoir une présentation des outils jamais utilisés,qfield,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Oui,,expert,jamais utilisé,débutant,avancé,expert,jamais utilisé,jamais utilisé,Oui,;Présentation des outils jamais utilisés,Qfield,Non,Oui,,,,,,,,,Oui,;formation sur l'automatisation,,Non,Non,,,,,,,,,,,,,,,1
35,43,14320659,08/12/2022 - 14:30,08/12/2022 - 14:30,08/12/2022 - 14:30,0,0.0.0.0,0,Anonymous,DREAL,SPRA,Oui,,,X,,avancé,débutant,avancé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,gunenv,Oui,,,,X,X,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,Non,,,Oui,,,,,,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,infocentre,Oui,,avancé,débutant,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Non,,,Oui,,,,X,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,,1
36,44,14320736,08/12/2022 - 14:33,08/12/2022 - 14:33,08/12/2022 - 14:33,0,0.0.0.0,0,Anonymous,DREAL,SPRA,Oui,,X,,,débutant,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,;visualiser les données sur un secteur géographique donné,,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
37,45,14321031,08/12/2022 - 14:45,08/12/2022 - 14:45,08/12/2022 - 14:45,0,0.0.0.0,0,Anonymous,DDT57,DT,Oui,,X,,,débutant,débutant,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,X,,,,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,,1
38,46,14321076,08/12/2022 - 14:47,08/12/2022 - 14:47,08/12/2022 - 14:47,0,0.0.0.0,0,Anonymous,DDT,SABE,Oui,,X,,,débutant,débutant,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,
39,47,14321444,08/12/2022 - 15:03,08/12/2022 - 15:03,08/12/2022 - 15:03,0,0.0.0.0,0,Anonymous,DREAL,SEBP,Non,Non,,,,,,,,,,,,,,,,Oui,,X,,,,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,Oui,Python;pour programmer,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Oui,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,
40,48,14321913,08/12/2022 - 15:23,08/12/2022 - 15:23,08/12/2022 - 15:23,0,0.0.0.0,0,Anonymous,DDT,OTP,Oui,,X,,X,débutant,avancé,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,Non,,,Oui,,X,,X,,avancé,débutant,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Oui,,avancé,jamais utilisé,jamais utilisé,débutant,avancé,jamais utilisé,jamais utilisé,Non,,,Oui,,,X,,avancé,jamais utilisé,jamais utilisé,avancé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,,
41,49,14322385,08/12/2022 - 15:44,08/12/2022 - 15:44,08/12/2022 - 15:44,0,0.0.0.0,0,Anonymous,DDT57,SUH,Oui,,X,X,,débutant,débutant,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,,,X,X,débutant,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Oui,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,,1
42,50,14322415,08/12/2022 - 15:44,08/12/2022 - 15:44,08/12/2022 - 15:44,0,0.0.0.0,0,Anonymous,DDT88,SUH,Non,Oui,,,,,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,Non,Oui,,,,,,,,,,,Non,Oui,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
43,51,14323000,08/12/2022 - 16:04,08/12/2022 - 16:04,08/12/2022 - 16:04,0,0.0.0.0,0,Anonymous,DREAL,SCDD,Oui,,,X,X,avancé,avancé,expert,expert,débutant,jamais utilisé,jamais utilisé,expert,débutant,Non,,,Oui,,,,,,expert,expert,avancé,jamais utilisé,débutant,expert,jamais utilisé,expert,débutant,Non,,,Oui,,X,X,X,,expert,expert,jamais utilisé,jamais utilisé,expert,jamais utilisé,Non,,,Non,Oui,,,,,,,,,,,Oui,,,,,expert,débutant,expert,expert,expert,Non,,,Oui,,,,débutant,débutant,débutant,jamais utilisé,débutant,jamais utilisé,expert,débutant,expert,Oui,Javascript;amélioration de produit html généré via R ou Qgis,,1
44,52,14323057,08/12/2022 - 16:07,08/12/2022 - 16:07,08/12/2022 - 16:07,0,0.0.0.0,0,Anonymous,DREAL,UD,Oui,,X,X,X,débutant,débutant,expert,avancé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,Oui,Access,,Oui,,X,X,X,X,expert,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,débutant,débutant,avancé,Oui,R,,Non,Oui,,,,,,,,,,,,,,Non,Oui,,,,,,,,,,,Oui,,X,X,X,avancé,avancé,débutant,débutant,jamais utilisé,Oui,psql,,Non,Oui,,,,,,,,,,,,,,,1
45,53,14323212,08/12/2022 - 16:14,08/12/2022 - 16:14,08/12/2022 - 16:14,0,0.0.0.0,0,Anonymous,DREAL,ST,Oui,,,X,X,avancé,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,"Exel,calc",rnc2,Non,Oui,,,,,,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,Non,Oui,,,,,,,,,,,Non,Oui,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,,1
46,54,14323432,08/12/2022 - 16:22,08/12/2022 - 16:22,08/12/2022 - 16:22,0,0.0.0.0,0,Anonymous,DREAL,SEBP,Oui,,,X,,jamais utilisé,débutant,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Oui,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
